,year,state,state_po,margin,num_ballots,procedural_cost
0,2000,DELAWARE,DE,0.121647864021554,58,40.6
1,2002,DELAWARE,DE,0.1781296004545572,40,28.0
2,2006,DELAWARE,DE,0.4259914722684095,17,11.9
3,2008,DELAWARE,DE,0.2937302516238251,24,16.8
4,2010,DELAWARE,DE,0.1726078555116753,41,28.7
5,2012,DELAWARE,DE,0.3746565366886383,19,13.3
6,2014,DELAWARE,DE,0.136012100599048,52,36.4
7,2018,DELAWARE,DE,0.2321286735504368,31,21.7
8,2020,DELAWARE,DE,0.2260869565217391,31,21.7
9,2024,DELAWARE,DE,0.17100000000000004,41,28.7
