,year,state,state_po,num_ballots,procedural_cost,margin
0,2000,OKLAHOMA,OK,157,82.42,0.0445859872611464
1,2002,OKLAHOMA,OK,198,103.95,0.0353535353535353
2,2004,OKLAHOMA,OK,100,52.5,0.07
3,2006,OKLAHOMA,OK,113,59.32,0.0619469026548672
4,2008,OKLAHOMA,OK,99,51.98,0.0707070707070707
5,2010,OKLAHOMA,OK,106,55.64,0.0660377358490566
6,2012,OKLAHOMA,OK,124,65.09,0.0564516129032258
7,2014,OKLAHOMA,OK,75,39.370000000000005,0.0933333333333333
8,2016,OKLAHOMA,OK,87,45.68,0.0804597701149425
9,2018,OKLAHOMA,OK,598,313.95,0.011705685618729
10,2020,OKLAHOMA,OK,235,123.38,0.0297872340425531
11,2022,OKLAHOMA,OK,111,58.28,0.063063063063063
12,2024,OKLAHOMA,OK,101,53.03,0.0693069306930693
