,year,state,state_po,num_ballots,procedural_cost,margin
0,2000,ALASKA,AK,13,9.1,0.5384615384615384
1,2002,ALASKA,AK,13,9.1,0.5384615384615384
2,2004,ALASKA,AK,15,10.5,0.4666666666666667
3,2006,ALASKA,AK,43,30.1,0.1627906976744186
4,2008,ALASKA,AK,135,94.5,0.0518518518518518
5,2010,ALASKA,AK,19,13.3,0.3684210526315789
6,2012,ALASKA,AK,20,14.0,0.35
7,2014,ALASKA,AK,70,49.0,0.1
8,2016,ALASKA,AK,49,34.3,0.1428571428571428
9,2018,ALASKA,AK,107,74.9,0.0654205607476635
10,2020,ALASKA,AK,77,53.9,0.0909090909090909
11,2022,ALASKA,AK,31,21.7,0.2258064516129032
12,2024,ALASKA,AK,351,245.7,0.0199430199430199
