,year,state,state_po,num_ballots,procedural_cost,margin
0,2000,ALABAMA,AL,91,47.77,0.0769230769230769
1,2002,ALABAMA,AL,395,207.37,0.0177215189873417
2,2004,ALABAMA,AL,94,49.35,0.0744680851063829
3,2006,ALABAMA,AL,94,49.35,0.0744680851063829
4,2008,ALABAMA,AL,1479,776.47,0.0047329276538201
5,2010,ALABAMA,AL,383,201.07,0.0182767624020887
6,2012,ALABAMA,AL,121,63.52,0.0578512396694214
7,2014,ALABAMA,AL,88,46.20,0.0795454545454545
8,2016,ALABAMA,AL,158,82.95,0.0443037974683544
9,2018,ALABAMA,AL,127,66.67,0.0551181102362204
10,2020,ALABAMA,AL,78,40.95,0.0897435897435897
11,2022,ALABAMA,AL,110,57.75,0.0636363636363636
12,2024,ALABAMA,AL,142,74.55,0.0492957746478873
