,year,state,state_po,num_ballots,procedural_cost,margin
0,2000,TEXAS,TX,720,378.0,0.0097222222222222
1,2002,TEXAS,TX,1066,559.61,0.0065666041275797
2,2004,TEXAS,TX,910,477.74,0.0076923076923076
3,2006,TEXAS,TX,849,445.73,0.0082449941107184
4,2008,TEXAS,TX,871,457.28,0.0080367393800229
5,2010,TEXAS,TX,1661,872.01,0.0042143287176399
6,2012,TEXAS,TX,933,489.83,0.007502679528403
7,2014,TEXAS,TX,974,511.33,0.0071868583162217
8,2016,TEXAS,TX,1325,695.62,0.0052830188679245
9,2018,TEXAS,TX,3514,1844.83,0.0019920318725099
10,2020,TEXAS,TX,2416,1268.39,0.0028973509933774
11,2022,TEXAS,TX,914,479.86,0.0076586433260393
12,2024,TEXAS,TX,1174,616.38,0.0059625212947189
