,year,state,state_po,num_ballots,procedural_cost,margin
0,2000,RHODE ISLAND,RI,39,20.47,0.1794871794871795
1,2002,RHODE ISLAND,RI,45,23.62,0.1555555555555555
2,2004,RHODE ISLAND,RI,39,20.47,0.1794871794871795
3,2006,RHODE ISLAND,RI,32,16.8,0.21875
4,2008,RHODE ISLAND,RI,34,17.85,0.2058823529411764
5,2010,RHODE ISLAND,RI,142,74.54,0.0492957746478873
6,2012,RHODE ISLAND,RI,93,48.83,0.075268817204301
7,2014,RHODE ISLAND,RI,66,34.64,0.106060606060606
8,2016,RHODE ISLAND,RI,50,26.25,0.14
9,2018,RHODE ISLAND,RI,47,24.67,0.1489361702127659
10,2020,RHODE ISLAND,RI,55,28.87,0.1272727272727272
11,2022,RHODE ISLAND,RI,215,112.87,0.0325581395348837
12,2024,RHODE ISLAND,RI,65,34.13,0.1076923076923077
