,year,state,state_po,num_ballots,procedural_cost,margin
0,2000,MARYLAND,MD,251,131.77,0.0278884462151394
1,2002,MARYLAND,MD,355,186.37,0.0197183098591549
2,2004,MARYLAND,MD,138,72.45,0.0507246376811594
3,2006,MARYLAND,MD,140,73.50,0.05
4,2008,MARYLAND,MD,996,522.90,0.0070281124497991
5,2010,MARYLAND,MD,198,103.95,0.0353535353535353
6,2012,MARYLAND,MD,160,84.00,0.04375
7,2014,MARYLAND,MD,675,354.37,0.0103703703703703
8,2016,MARYLAND,MD,187,98.17,0.0374331550802139
9,2018,MARYLAND,MD,166,87.15,0.0421686746987951
10,2020,MARYLAND,MD,168,88.20,0.0416666666666666
11,2022,MARYLAND,MD,263,138.07,0.026615969581749
12,2024,MARYLAND,MD,268,140.70,0.0261194029850746
