,year,state,state_po,num_ballots,procedural_cost,margin
0,2000,MARYLAND,MD,251,175.7,0.0278884462151394
1,2002,MARYLAND,MD,355,248.5,0.0197183098591549
2,2004,MARYLAND,MD,138,96.6,0.0507246376811594
3,2006,MARYLAND,MD,140,98.0,0.05
4,2008,MARYLAND,MD,996,697.2,0.0070281124497991
5,2010,MARYLAND,MD,198,138.6,0.0353535353535353
6,2012,MARYLAND,MD,160,112.0,0.04375
7,2014,MARYLAND,MD,675,472.5,0.0103703703703703
8,2016,MARYLAND,MD,187,130.9,0.0374331550802139
9,2018,MARYLAND,MD,166,116.2,0.0421686746987951
10,2020,MARYLAND,MD,168,117.6,0.0416666666666666
11,2022,MARYLAND,MD,263,184.1,0.026615969581749
12,2024,MARYLAND,MD,268,187.6,0.0261194029850746
